"symbol";"company";"identifier";"sedol";"weight";"sector";"shares_held";"local_currency"
"TTWO";"Take-Two Interactive Software Inc.";"87405410";"2122117";0,000528037417760115;"Communication Services";1280075;"USD"
"IFF";"International Flavors & Fragrances Inc.";"45950610";"2464165";0,000526507280353776;"Materials";1222007;"USD"
"HOLX";"Hologic Inc.";"43644010";"2433530";0,000526217254309437;"Health Care";3060038;"USD"
"STX";"Seagate Technology PLC";"G7945M10";"B58JVZ5";0,000525777214793888;"Information Technology";2707597;"USD"
"GRMN";"Garmin Ltd.";"H2906T10";"B3Z5T14";0,000525477187851469;"Consumer Discretionary";1653816;"USD"
"CTL";"CenturyLink Inc.";"15670010";"2185046";0,000524957141151275;"Communication Services";10987431;"USD"
"CE";"Celanese Corporation";"15087010";"B05MZT4";0,00052394705044513;"Materials";1415162;"USD"
"DGX";"Quest Diagnostics Incorporated";"74834L10";"2702791";0,000523467007337259;"Health Care";1521184;"USD"
"WAB";"Westinghouse Air Brake Technologies Corporation";"92974010";"2955733";0,000522886955248581;"Industrials";2084782;"USD"
"TIF";"Tiffany & Co.";"88654710";"2892090";0,000521696848376984;"Consumer Discretionary";1227532;"USD"
"PFG";"Principal Financial Group Inc.";"74251V10";"2803014";0,000521256808861436;"Financials";2956528;"USD"
"IT";"Gartner Inc.";"36665110";"2372763";0,000518866594220161;"Information Technology";1016960;"USD"
"MAS";"Masco Corporation";"57459910";"2570200";0,000517346457711902;"Industrials";3310595;"USD"
"DRI";"Darden Restaurants Inc.";"23719410";"2289874";0,000508605672789416;"Consumer Discretionary";1395229;"USD"
"UDR";"UDR Inc.";"90265310";"2727910";0,000507855605433368;"Real Estate";3351853;"USD"
"ABC";"AmerisourceBergen Corporation";"03073E10";"2795393";0,000507495573102465;"Health Care";1739366;"USD"
"MKTX";"MarketAxess Holdings Inc.";"57060D10";"B03Q9D0";0,000506525485988642;"Financials";431336;"USD"
"FANG";"Diamondback Energy Inc.";"25278X10";"B7Y8YR3";0,000505645406957545;"Energy";1865576;"USD"
"EXR";"Extra Space Storage Inc.";"30225T10";"B02HWR9";0,000504985347684222;"Real Estate";1451845;"USD"
"ATO";"Atmos Energy Corporation";"04956010";"2315359";0,000503695231831818;"Utilities";1368553;"USD"
"INCY";"Incyte Corporation";"45337C10";"2471950";0,000503305196806673;"Health Care";2022828;"USD"
"LDOS";"Leidos Holdings Inc.";"52532710";"BDV82B8";0,000502385114183254;"Information Technology";1546412;"USD"
"NTAP";"NetApp Inc.";"64110D10";"2630643";0,000501665049521447;"Information Technology";2616731;"USD"
"FOXA";"Fox Corporation Class A";"35137L10";"BJJMGL2";0,000497654689391107;"Communication Services";4016575;"USD"
"ZBRA";"Zebra Technologies Corporation Class A";"98920710";"2989356";0,000497144643588994;"Information Technology";617968;"USD"
"QRVO";"Qorvo Inc.";"74736K10";"BR9YYP4";0,000496094549290526;"Information Technology";1345107;"USD"
"NVR";"NVR Inc.";"62944T10";"2637785";0,000495774520551946;"Consumer Discretionary";39770;"USD"
"XRAY";"DENTSPLY SIRONA Inc.";"24906P10";"BYNPPC6";0,000493724336445413;"Health Care";2565127;"USD"
"VAR";"Varian Medical Systems Inc.";"92220P10";"2927516";0,000493234292439461;"Health Care";1040137;"USD"
"LNT";"Alliant Energy Corp";"01880210";"2973821";0,000492984269987445;"Utilities";2692572;"USD"
"HAS";"Hasbro Inc.";"41805610";"2414580";0,000489443952066896;"Consumer Discretionary";1459448;"USD"
"L";"Loews Corporation";"54042410";"2523022";0,000489313940391847;"Financials";2974914;"USD"
"WYNN";"Wynn Resorts Limited";"98313410";"2963811";0,000489263935901444;"Consumer Discretionary";1101583;"USD"
"AES";"AES Corporation";"00130H10";"2002479";0,000488163837112573;"Utilities";7547758;"USD"
"LW";"Lamb Weston Holdings Inc.";"51327210";"BDQZFJ3";0,000482733349454781;"Consumer Staples";1669728;"USD"
"SIVB";"SVB Financial Group";"78486Q10";"2808053";0,00048071316804249;"Financials";591598;"USD"
"CBOE";"Cboe Global Markets Inc";"12503M10";"B5834C5";0,000479463055782409;"Financials";1273847;"USD"
"DRE";"Duke Realty Corporation";"26441150";"2284084";0,000475822728881054;"Real Estate";4214589;"USD"
"BF.B";"Brown-Forman Corporation Class B";"11563720";"2146838";0,000474122576207343;"Consumer Staples";2083709;"USD"
"CNP";"CenterPoint Energy Inc.";"15189T10";"2440637";0,000473432514239779;"Utilities";5703894;"USD"
"STE";"STERIS Plc";"G8473T10";"BFY8C75";0,000470932289719617;"Health Care";972174;"USD"
"IEX";"IDEX Corporation";"45167R10";"2456612";0,000469422154109439;"Industrials";855859;"USD"
"ODFL";"Old Dominion Freight Line Inc.";"67958010";"2656423";0,000468152040053197;"Industrials";728120;"USD"
"J";"Jacobs Engineering Group Inc.";"46981410";"2469052";0,000466461888277567;"Industrials";1551173;"USD"
"FMC";"FMC Corporation";"30249130";"2328603";0,000464641724826889;"Materials";1501602;"USD"
"HST";"Host Hotels & Resorts Inc.";"44107P10";"2567503";0,00046372164220347;"Real Estate";8348436;"USD"
"NDAQ";"Nasdaq Inc.";"63110310";"2965107";0,000458991217411323;"Financials";1326500;"USD"
"HRL";"Hormel Foods Corporation";"44045210";"2437264";0,000458891208430517;"Consumer Staples";3108033;"USD"
"EXPD";"Expeditors International of Washington Inc.";"30213010";"2325507";0,000457561088985791;"Industrials";1959306;"USD"
"NCLH";"Norwegian Cruise Line Holdings Ltd.";"G6672110";"B9CGTC3";0,000451290525889225;"Consumer Discretionary";2469972;"USD"
"ANET";"Arista Networks Inc.";"04041310";"BN33VM5";0,000439989511058093;"Information Technology";623114;"USD"
"SJM";"J.M. Smucker Company";"83269640";"2951452";0,00043994950746577;"Consumer Staples";1297013;"USD"
"ALLE";"Allegion PLC";"G0176J10";"BFRT3W7";0,000438819405982657;"Industrials";1069215;"USD"
"RJF";"Raymond James Financial Inc.";"75473010";"2718992";0,000435899143743108;"Financials";1413940;"USD"
"URI";"United Rentals Inc.";"91136310";"2134781";0,000434238994661721;"Industrials";882111;"USD"
"UHS";"Universal Health Services Inc. Class B";"91390310";"2923785";0,000428768503411606;"Health Care";928976;"USD"
"LNC";"Lincoln National Corporation";"53418710";"2516378";0,000426328284279928;"Financials";2290019;"USD"
"WU";"Western Union Company";"95980210";"B1F76F9";0,000423968072332895;"Information Technology";4848721;"USD"
"APA";"Apache Corporation";"03741110";"2043962";0,000418837611617523;"Energy";4279468;"USD"
"HII";"Huntington Ingalls Industries Inc.";"44641310";"B40SSC9";0,000414527224544764;"Industrials";474180;"USD"
"JKHY";"Jack Henry & Associates Inc.";"42628110";"2469193";0,000413767156290635;"Information Technology";872152;"USD"
"RE";"Everest Re Group Ltd.";"G3223R10";"2556868";0,000410106827593118;"Financials";460338;"USD"
"MYL";"Mylan N.V.";"N5946510";"BVFMFG8";0,00040612647015702;"Health Care";5878810;"USD"
"ARNC";"Arconic Inc.";"03965L10";"BD3D9G5";0,000405316397412488;"Industrials";4432910;"USD"
"PKI";"PerkinElmer Inc.";"71404610";"2305844";0,000403856266292713;"Health Care";1263483;"USD"
"TSCO";"Tractor Supply Company";"89235610";"2900335";0,000401826083982342;"Consumer Discretionary";1364737;"USD"
"PHM";"PulteGroup Inc.";"74586710";"2708841";0,000399435869341067;"Consumer Discretionary";2938193;"USD"
"AVY";"Avery Dennison Corporation";"05361110";"2066408";0,000397695713075034;"Materials";963217;"USD"
"CHRW";"C.H. Robinson Worldwide Inc.";"12541W20";"2116228";0,000397375684336453;"Industrials";1560707;"USD"
"AAL";"American Airlines Group Inc.";"02376R10";"BCV7KT2";0,000391215131118774;"Industrials";4516640;"USD"
"NI";"NiSource Inc";"65473P10";"2645409";0,0003906850835205;"Utilities";4240462;"USD"
"NBL";"Noble Energy Inc.";"65504410";"2640761";0,000389414969464258;"Energy";5507919;"USD"
"VNO";"Vornado Realty Trust";"92904210";"2933632";0,000388594895821645;"Real Estate";1812629;"USD"
"WRK";"WestRock Company";"96145D10";"BYR0914";0,000387204770988435;"Materials";2931603;"USD"
"PNW";"Pinnacle West Capital Corporation";"72348410";"2048804";0,000385034576104934;"Utilities";1284344;"USD"
"REG";"Regency Centers Corporation";"75884910";"2726177";0,000384944568022208;"Real Estate";1908787;"USD"
